i=0 x=0.000000 y=0.000000
i=1000000 x=0.010000 y=0.024842
i=51000000 x=0.510000 y=2.074617
i=76000000 x=0.760000 y=3.342615
i=26000000 x=0.260000 y=0.870562
i=2000000 x=0.020000 y=0.050381
i=52000000 x=0.520000 y=2.126979
i=77000000 x=0.770000 y=3.387575
i=27000000 x=0.270000 y=0.912959
i=3000000 x=0.030000 y=0.076617
i=53000000 x=0.530000 y=2.179454
i=78000000 x=0.780000 y=3.431721
i=28000000 x=0.280000 y=0.955950
i=4000000 x=0.040000 y=0.103553
i=54000000 x=0.540000 y=2.232012
i=29000000 x=0.290000 y=0.999524
i=79000000 x=0.790000 y=3.475008
i=5000000 x=0.050000 y=0.131190
i=55000000 x=0.550000 y=2.284624
i=30000000 x=0.300000 y=1.043668
i=80000000 x=0.800000 y=3.517389
i=6000000 x=0.060000 y=0.159528
i=56000000 x=0.560000 y=2.337261
i=31000000 x=0.310000 y=1.088372
i=81000000 x=0.810000 y=3.558817
i=7000000 x=0.070000 y=0.188567
i=32000000 x=0.320000 y=1.133620
i=57000000 x=0.570000 y=2.389892
i=82000000 x=0.820000 y=3.599245
i=8000000 x=0.080000 y=0.218308
i=33000000 x=0.330000 y=1.179400
i=58000000 x=0.580000 y=2.442485
i=83000000 x=0.830000 y=3.638625
i=9000000 x=0.090000 y=0.248749
i=34000000 x=0.340000 y=1.225697
i=10000000 x=0.100000 y=0.279890
i=84000000 x=0.840000 y=3.676908
i=59000000 x=0.590000 y=2.495008
i=35000000 x=0.350000 y=1.272496
i=11000000 x=0.110000 y=0.311729
i=60000000 x=0.600000 y=2.547429
i=85000000 x=0.850000 y=3.714045
i=36000000 x=0.360000 y=1.319782
i=12000000 x=0.120000 y=0.344264
i=61000000 x=0.610000 y=2.599713
i=86000000 x=0.860000 y=3.749987
i=37000000 x=0.370000 y=1.367537
i=13000000 x=0.130000 y=0.377493
i=62000000 x=0.620000 y=2.651827
i=87000000 x=0.870000 y=3.784684
i=38000000 x=0.380000 y=1.415745
i=14000000 x=0.140000 y=0.411412
i=63000000 x=0.630000 y=2.703736
i=88000000 x=0.880000 y=3.818085
i=39000000 x=0.390000 y=1.464389
i=15000000 x=0.150000 y=0.446019
i=64000000 x=0.640000 y=2.755403
i=89000000 x=0.890000 y=3.850139
i=40000000 x=0.400000 y=1.513448
i=16000000 x=0.160000 y=0.481309
i=65000000 x=0.650000 y=2.806792
i=90000000 x=0.900000 y=3.880795
i=41000000 x=0.410000 y=1.562905
i=17000000 x=0.170000 y=0.517278
i=66000000 x=0.660000 y=2.857866
i=42000000 x=0.420000 y=1.612740
i=91000000 x=0.910000 y=3.910001
i=18000000 x=0.180000 y=0.553922
i=67000000 x=0.670000 y=2.908588
i=43000000 x=0.430000 y=1.662932
i=19000000 x=0.190000 y=0.591234
i=92000000 x=0.920000 y=3.937705
i=68000000 x=0.680000 y=2.958918
i=44000000 x=0.440000 y=1.713459
i=20000000 x=0.200000 y=0.629208
i=93000000 x=0.930000 y=3.963855
i=69000000 x=0.690000 y=3.008817
i=45000000 x=0.450000 y=1.764300
i=21000000 x=0.210000 y=0.667839
i=94000000 x=0.940000 y=3.988397
i=70000000 x=0.700000 y=3.058246
i=46000000 x=0.460000 y=1.815433
i=22000000 x=0.220000 y=0.707118
i=95000000 x=0.950000 y=4.011279
i=71000000 x=0.710000 y=3.107164
i=47000000 x=0.470000 y=1.866833
i=23000000 x=0.230000 y=0.747038
i=72000000 x=0.720000 y=3.155529
i=96000000 x=0.960000 y=4.032446
i=48000000 x=0.480000 y=1.918476
i=24000000 x=0.240000 y=0.787592
i=73000000 x=0.730000 y=3.203299
i=97000000 x=0.970000 y=4.051846
i=25000000 x=0.250000 y=0.828770
i=49000000 x=0.490000 y=1.970339
i=74000000 x=0.740000 y=3.250433
i=98000000 x=0.980000 y=4.069423
i=50000000 x=0.500000 y=2.022394
i=75000000 x=0.750000 y=3.296886
i=99000000 x=0.990000 y=4.085125
i=100000000 x=1.000000 y=4.098895
